subjID	version	survey_type	survey_prompt	correct	conf	survey_choose	survey_rt
dbbf8220893d497d403bb9cdf49db7a4	.98-20200529-survey_fixmax	SR	melon	true			1690.0000000002328
dbbf8220893d497d403bb9cdf49db7a4	.98-20200529-survey_fixmax	SR	cherries	true			2121.000000000233
dbbf8220893d497d403bb9cdf49db7a4	.98-20200529-survey_fixmax	SR	bananas	true			1258
dbbf8220893d497d403bb9cdf49db7a4	.98-20200529-survey_fixmax	SR	pear	true			1039
dbbf8220893d497d403bb9cdf49db7a4	.98-20200529-survey_fixmax	SR	lemon	true			1074
dbbf8220893d497d403bb9cdf49db7a4	.98-20200529-survey_fixmax	SR	apple	true			1064.0000000002328
dbbf8220893d497d403bb9cdf49db7a4	.98-20200529-survey_fixmax	OR	pineapple	true			3977
dbbf8220893d497d403bb9cdf49db7a4	.98-20200529-survey_fixmax	OR	strawberry	true			3235
dbbf8220893d497d403bb9cdf49db7a4	.98-20200529-survey_fixmax	OR	grape	true			2392
dbbf8220893d497d403bb9cdf49db7a4	.98-20200529-survey_fixmax	OR	coconut	true			1231
dbbf8220893d497d403bb9cdf49db7a4	.98-20200529-survey_fixmax	OR	orange	false			5981
dbbf8220893d497d403bb9cdf49db7a4	.98-20200529-survey_fixmax	OR	kiwi	true			1196
dbbf8220893d497d403bb9cdf49db7a4	.98-20200529-survey_fixmax	SO	cherries	true			8273.000000000233
dbbf8220893d497d403bb9cdf49db7a4	.98-20200529-survey_fixmax	SO	pear	true			3795
dbbf8220893d497d403bb9cdf49db7a4	.98-20200529-survey_fixmax	SO	apple	true			1283
dbbf8220893d497d403bb9cdf49db7a4	.98-20200529-survey_fixmax	SO	melon	true			1458
dbbf8220893d497d403bb9cdf49db7a4	.98-20200529-survey_fixmax	SO	lemon	true			2218.999999999767
dbbf8220893d497d403bb9cdf49db7a4	.98-20200529-survey_fixmax	SO	bananas	true			1734
will20200529a	.97-20200529-survey	SR	coconut	true			2654
will20200529a	.97-20200529-survey	SR	lemon	false			29064
will20200529a	.97-20200529-survey	SR	strawberry	true			1372
will20200529a	.97-20200529-survey	SR	apple	true			1165
will20200529a	.97-20200529-survey	SR	grape	false			1332
will20200529a	.97-20200529-survey	SR	cherries	true			1901
will20200529a	.97-20200529-survey	OR	pear	true			7354
will20200529a	.97-20200529-survey	OR	melon	false			9347
will20200529a	.97-20200529-survey	OR	kiwi	true			1078
will20200529a	.97-20200529-survey	OR	pineapple	true			19317
will20200529a	.97-20200529-survey	OR	orange	false			1067
will20200529a	.97-20200529-survey	OR	bananas	true			995
will20200529a	.97-20200529-survey	SO	coconut	false			2940
will20200529a	.97-20200529-survey	SO	cherries	false			924
will20200529a	.97-20200529-survey	SO	grape	false			588
will20200529a	.97-20200529-survey	SO	strawberry	true			13344
will20200529a	.97-20200529-survey	SO	apple	true			2901
will20200529a	.97-20200529-survey	SO	lemon	true			5173
