subjID	version	block	trial_index	time_elapsed	trial_type	internal_node_id	stim	key_press	rt	outcome	valued	devalued	cor_dir	isdevalued	chose	score
anna20200527a	.93-20200528-longerDD	1.ID_0	1	82810	html-keyboard-response	0.0-1.0	bananas	39	2084.5850000623614	apple			Right	false	Right	1
anna20200527a	.93-20200528-longerDD	1.ID_0	3	89382	html-keyboard-response	0.0-3.0	lemon	37	4522.925000172108	orange			Right	false	Left	0
anna20200527a	.93-20200528-longerDD	1.ID_0	5	93293	html-keyboard-response	0.0-5.0	pear	37	1863.9700000640005	strawberry			Left	false	Left	1
anna20200527a	.93-20200528-longerDD	1.ID_0	7	99439	html-keyboard-response	0.0-7.0	kiwi	39	4107.619999907911	grape			Left	false	Right	0
anna20200527a	.93-20200528-longerDD	1.ID_0	9	102449	html-keyboard-response	0.0-9.0	lemon	37	993.1699999142438	orange			Right	false	Left	0
anna20200527a	.93-20200528-longerDD	1.ID_0	11	105958	html-keyboard-response	0.0-11.0	pear	37	1483.714999863878	strawberry			Left	false	Left	1
anna20200527a	.93-20200528-longerDD	1.ID_0	13	109211	html-keyboard-response	0.0-13.0	pineapple	37	1232.3150001466274	coconut			Left	false	Left	1
anna20200527a	.93-20200528-longerDD	1.ID_0	15	113646	html-keyboard-response	0.0-15.0	bananas	39	2402.0950000267476	apple			Right	false	Right	1
anna20200527a	.93-20200528-longerDD	1.ID_0	17	116601	html-keyboard-response	0.0-17.0	melon	37	923.8249999471009	cherries			Right	false	Left	0
anna20200527a	.93-20200528-longerDD	1.ID_0	19	120278	html-keyboard-response	0.0-19.0	kiwi	39	1645.0099998619407	grape			Left	false	Right	0
anna20200527a	.93-20200528-longerDD	1.ID_0	21	123557	html-keyboard-response	0.0-21.0	pineapple	37	1251.624999800697	coconut			Left	false	Left	1
anna20200527a	.93-20200528-longerDD	1.ID_0	23	126629	html-keyboard-response	0.0-23.0	melon	37	1051.4400000683963	cherries			Right	false	Left	0
anna20200527a	.93-20200528-longerDD	1.ID_1	25	129532	html-keyboard-response	0.0-25.0	bananas	39	876.8050000071526	apple			Right	false	Right	1
anna20200527a	.93-20200528-longerDD	1.ID_1	27	133090	html-keyboard-response	0.0-27.0	melon	39	1530.2049999590963	cherries			Right	false	Right	1
anna20200527a	.93-20200528-longerDD	1.ID_1	29	136042	html-keyboard-response	0.0-29.0	kiwi	37	934.7299998626113	grape			Left	false	Left	1
anna20200527a	.93-20200528-longerDD	1.ID_1	31	139137	html-keyboard-response	0.0-31.0	pineapple	39	1065.3000001329929	coconut			Left	false	Right	0
anna20200527a	.93-20200528-longerDD	1.ID_1	33	142102	html-keyboard-response	0.0-33.0	lemon	37	939.1649998724461	orange			Right	false	Left	0
anna20200527a	.93-20200528-longerDD	1.ID_1	35	145090	html-keyboard-response	0.0-35.0	pineapple	37	971.5399998240173	coconut			Left	false	Left	1
anna20200527a	.93-20200528-longerDD	1.ID_1	37	147843	html-keyboard-response	0.0-37.0	bananas	39	734.6049998886883	apple			Right	false	Right	1
anna20200527a	.93-20200528-longerDD	1.ID_1	39	151301	html-keyboard-response	0.0-39.0	pear	39	1437.2950000688434	strawberry			Left	false	Right	0
anna20200527a	.93-20200528-longerDD	1.ID_1	41	154155	html-keyboard-response	0.0-41.0	melon	37	824.9699999578297	cherries			Right	false	Left	0
anna20200527a	.93-20200528-longerDD	1.ID_1	43	158895	html-keyboard-response	0.0-43.0	pear	37	2710.969999898225	strawberry			Left	false	Left	1
anna20200527a	.93-20200528-longerDD	1.ID_1	45	161879	html-keyboard-response	0.0-45.0	lemon	39	952.6299999561161	orange			Right	false	Right	1
anna20200527a	.93-20200528-longerDD	1.ID_1	47	165084	html-keyboard-response	0.0-47.0	kiwi	37	1170.6399999093264	grape			Left	false	Left	1
anna20200527a	.93-20200528-longerDD	1.ID_2	49	168318	html-keyboard-response	0.0-49.0	bananas	39	1201.1100000236183	apple			Right	false	Right	1
anna20200527a	.93-20200528-longerDD	1.ID_2	51	171262	html-keyboard-response	0.0-51.0	lemon	37	918.1399999652058	orange			Right	false	Left	0
anna20200527a	.93-20200528-longerDD	1.ID_2	53	174109	html-keyboard-response	0.0-53.0	bananas	39	816.4049999322742	apple			Right	false	Right	1
anna20200527a	.93-20200528-longerDD	1.ID_2	55	176735	html-keyboard-response	0.0-55.0	lemon	39	599.0249998867512	orange			Right	false	Right	1
anna20200527a	.93-20200528-longerDD	1.ID_2	57	181883	html-keyboard-response	0.0-57.0	pineapple	37	3119.205000111833	coconut			Left	false	Left	1
anna20200527a	.93-20200528-longerDD	1.ID_2	59	185358	html-keyboard-response	0.0-59.0	pear	37	1440.5400000978261	strawberry			Left	false	Left	1
anna20200527a	.93-20200528-longerDD	1.ID_2	61	189525	html-keyboard-response	0.0-61.0	kiwi	37	2132.7349999919534	grape			Left	false	Left	1
anna20200527a	.93-20200528-longerDD	1.ID_2	63	192483	html-keyboard-response	0.0-63.0	pear	37	934.3799999915063	strawberry			Left	false	Left	1
anna20200527a	.93-20200528-longerDD	1.ID_2	65	195227	html-keyboard-response	0.0-65.0	kiwi	37	725.550000090152	grape			Left	false	Left	1
anna20200527a	.93-20200528-longerDD	1.ID_2	67	198544	html-keyboard-response	0.0-67.0	pineapple	37	1299.7300000861287	coconut			Left	false	Left	1
anna20200527a	.93-20200528-longerDD	1.ID_2	69	202542	html-keyboard-response	0.0-69.0	melon	39	1948.405000148341	cherries			Right	false	Right	1
anna20200527a	.93-20200528-longerDD	1.ID_2	71	205551	html-keyboard-response	0.0-71.0	melon	39	978.1299999449402	cherries			Right	false	Right	1
anna20200527a	.93-20200528-longerDD	1.ID_3	73	208632	html-keyboard-response	0.0-73.0	pineapple	37	1047.7299999911338	coconut			Left	false	Left	1
anna20200527a	.93-20200528-longerDD	1.ID_3	75	211792	html-keyboard-response	0.0-75.0	bananas	39	1143.5100000817329	apple			Right	false	Right	1
anna20200527a	.93-20200528-longerDD	1.ID_3	77	215992	html-keyboard-response	0.0-77.0	pear	37	2165.8050001133233	strawberry			Left	false	Left	1
anna20200527a	.93-20200528-longerDD	1.ID_3	79	218778	html-keyboard-response	0.0-79.0	bananas	39	754.4299999717623	apple			Right	false	Right	1
anna20200527a	.93-20200528-longerDD	1.ID_3	81	223601	html-keyboard-response	0.0-81.0	kiwi	37	2795.000000158325	grape			Left	false	Left	1
anna20200527a	.93-20200528-longerDD	1.ID_3	83	226414	html-keyboard-response	0.0-83.0	kiwi	37	793.6749998480082	grape			Left	false	Left	1
anna20200527a	.93-20200528-longerDD	1.ID_3	85	229885	html-keyboard-response	0.0-85.0	lemon	39	1445.9599999245256	orange			Right	false	Right	1
anna20200527a	.93-20200528-longerDD	1.ID_3	87	234084	html-keyboard-response	0.0-87.0	melon	37	2153.7150000222027	cherries			Right	false	Left	0
anna20200527a	.93-20200528-longerDD	1.ID_3	89	237103	html-keyboard-response	0.0-89.0	pineapple	37	989.9450000375509	coconut			Left	false	Left	1
anna20200527a	.93-20200528-longerDD	1.ID_3	91	242502	html-keyboard-response	0.0-91.0	pear	37	3382.169999880716	strawberry			Left	false	Left	1
