,phase,ttype,blocknum,trial,LR1,deval,LR2,onset,dur,end,cor_side
0,PhaseType.DD,TrialType.GRID,1,-1,L0,False,R0,3.0,5.0,8.0,
1,PhaseType.DD,TrialType.SHOW,1,0,R1,False,,8.0,1.5,9.5,R
2,PhaseType.DD,TrialType.ITI,1,0,R1,False,,9.5,2.0,11.5,
3,PhaseType.DD,TrialType.SHOW,1,1,R2,False,,11.5,1.5,13.0,R
4,PhaseType.DD,TrialType.ITI,1,1,R2,False,,13.0,1.0,14.0,
5,PhaseType.DD,TrialType.SHOW,1,2,L0,True,,14.0,1.5,15.5,
6,PhaseType.DD,TrialType.ITI,1,2,L0,False,,15.5,2.0,17.5,
7,PhaseType.DD,TrialType.SHOW,1,3,R2,False,,17.5,1.5,19.0,R
8,PhaseType.DD,TrialType.ITI,1,3,R2,False,,19.0,1.0,20.0,
9,PhaseType.DD,TrialType.SHOW,1,4,L2,False,,20.0,1.5,21.5,L
10,PhaseType.DD,TrialType.ITI,1,4,L2,False,,21.5,5.0,26.5,
11,PhaseType.DD,TrialType.SHOW,1,5,R0,True,,26.5,1.5,28.0,
12,PhaseType.DD,TrialType.ITI,1,5,R0,False,,28.0,5.0,33.0,
13,PhaseType.DD,TrialType.SHOW,1,6,R1,False,,33.0,1.5,34.5,R
14,PhaseType.DD,TrialType.ITI,1,6,R1,False,,34.5,2.0,36.5,
15,PhaseType.DD,TrialType.SHOW,1,7,L1,False,,36.5,1.5,38.0,L
16,PhaseType.DD,TrialType.ITI,1,7,L1,False,,38.0,1.0,39.0,
17,PhaseType.DD,TrialType.SHOW,1,8,L0,True,,39.0,1.5,40.5,
18,PhaseType.DD,TrialType.ITI,1,8,L0,False,,40.5,1.0,41.5,
19,PhaseType.DD,TrialType.SHOW,1,9,L1,False,,41.5,1.5,43.0,L
20,PhaseType.DD,TrialType.ITI,1,9,L1,False,,43.0,1.0,44.0,
21,PhaseType.DD,TrialType.SHOW,1,10,R0,True,,44.0,1.5,45.5,
22,PhaseType.DD,TrialType.ITI,1,10,R0,False,,45.5,1.0,46.5,
23,PhaseType.DD,TrialType.SHOW,1,11,L2,False,,46.5,1.5,48.0,L
