,phase,ttype,blocknum,trial,LR1,deval,LR2,onset,dur,end,cor_side
0,PhaseType.DD,TrialType.GRID,1,-1,L0,False,L2,3.0,5.0,8.0,
1,PhaseType.DD,TrialType.SHOW,1,0,R0,False,,8.0,2.0,10.0,R
2,PhaseType.DD,TrialType.ITI,1,0,R0,False,,10.0,1.0,11.0,
3,PhaseType.DD,TrialType.SHOW,1,1,R1,False,,11.0,2.0,13.0,R
4,PhaseType.DD,TrialType.ITI,1,1,R1,False,,13.0,5.0,18.0,
5,PhaseType.DD,TrialType.SHOW,1,2,L1,False,,18.0,2.0,20.0,L
6,PhaseType.DD,TrialType.ITI,1,2,L1,False,,20.0,1.0,21.0,
7,PhaseType.DD,TrialType.SHOW,1,3,R0,False,,21.0,2.0,23.0,R
8,PhaseType.DD,TrialType.ITI,1,3,R0,False,,23.0,5.0,28.0,
9,PhaseType.DD,TrialType.SHOW,1,4,L0,True,,28.0,2.0,30.0,
10,PhaseType.DD,TrialType.ITI,1,4,L0,False,,30.0,2.0,32.0,
11,PhaseType.DD,TrialType.SHOW,1,5,R2,False,,32.0,2.0,34.0,R
12,PhaseType.DD,TrialType.ITI,1,5,R2,False,,34.0,1.0,35.0,
13,PhaseType.DD,TrialType.SHOW,1,6,R2,False,,35.0,2.0,37.0,R
14,PhaseType.DD,TrialType.ITI,1,6,R2,False,,37.0,1.0,38.0,
15,PhaseType.DD,TrialType.SHOW,1,7,L2,True,,38.0,2.0,40.0,
16,PhaseType.DD,TrialType.ITI,1,7,L2,False,,40.0,1.0,41.0,
17,PhaseType.DD,TrialType.SHOW,1,8,R1,False,,41.0,2.0,43.0,R
18,PhaseType.DD,TrialType.ITI,1,8,R1,False,,43.0,2.0,45.0,
19,PhaseType.DD,TrialType.SHOW,1,9,L2,True,,45.0,2.0,47.0,
20,PhaseType.DD,TrialType.ITI,1,9,L2,False,,47.0,2.0,49.0,
21,PhaseType.DD,TrialType.SHOW,1,10,L0,True,,49.0,2.0,51.0,
22,PhaseType.DD,TrialType.ITI,1,10,L0,False,,51.0,1.0,52.0,
23,PhaseType.DD,TrialType.SHOW,1,11,L1,False,,52.0,2.0,54.0,L
