,phase,ttype,blocknum,trial,LR1,deval,LR2,onset,dur,end,cor_side
0,PhaseType.ID,TrialType.SHOW,1,0,L1,False,,3.0,1.5,4.5,L
1,PhaseType.ID,TrialType.FBK,1,0,L1,False,,4.5,1.0,5.5,
2,PhaseType.ID,TrialType.ITI,1,0,L1,False,,5.5,1.0,6.5,
3,PhaseType.ID,TrialType.SHOW,1,1,L0,False,,6.5,1.5,8.0,L
4,PhaseType.ID,TrialType.FBK,1,1,L0,False,,8.0,1.0,9.0,
5,PhaseType.ID,TrialType.ITI,1,1,L0,False,,9.0,1.0,10.0,
6,PhaseType.ID,TrialType.SHOW,1,2,R2,False,,10.0,1.5,11.5,R
7,PhaseType.ID,TrialType.FBK,1,2,R2,False,,11.5,1.0,12.5,
8,PhaseType.ID,TrialType.ITI,1,2,R2,False,,12.5,2.0,14.5,
9,PhaseType.ID,TrialType.SHOW,1,3,L1,False,,14.5,1.5,16.0,L
10,PhaseType.ID,TrialType.FBK,1,3,L1,False,,16.0,1.0,17.0,
11,PhaseType.ID,TrialType.ITI,1,3,L1,False,,17.0,2.0,19.0,
12,PhaseType.ID,TrialType.SHOW,1,4,L2,False,,19.0,1.5,20.5,L
13,PhaseType.ID,TrialType.FBK,1,4,L2,False,,20.5,1.0,21.5,
14,PhaseType.ID,TrialType.ITI,1,4,L2,False,,21.5,2.0,23.5,
15,PhaseType.ID,TrialType.SHOW,1,5,L2,False,,23.5,1.5,25.0,L
16,PhaseType.ID,TrialType.FBK,1,5,L2,False,,25.0,1.0,26.0,
17,PhaseType.ID,TrialType.ITI,1,5,L2,False,,26.0,1.0,27.0,
18,PhaseType.ID,TrialType.SHOW,1,6,R2,False,,27.0,1.5,28.5,R
19,PhaseType.ID,TrialType.FBK,1,6,R2,False,,28.5,1.0,29.5,
20,PhaseType.ID,TrialType.ITI,1,6,R2,False,,29.5,1.0,30.5,
21,PhaseType.ID,TrialType.SHOW,1,7,R0,False,,30.5,1.5,32.0,R
22,PhaseType.ID,TrialType.FBK,1,7,R0,False,,32.0,1.0,33.0,
23,PhaseType.ID,TrialType.ITI,1,7,R0,False,,33.0,1.0,34.0,
24,PhaseType.ID,TrialType.SHOW,1,8,R1,False,,34.0,1.5,35.5,R
25,PhaseType.ID,TrialType.FBK,1,8,R1,False,,35.5,1.0,36.5,
26,PhaseType.ID,TrialType.ITI,1,8,R1,False,,36.5,5.0,41.5,
27,PhaseType.ID,TrialType.SHOW,1,9,R0,False,,41.5,1.5,43.0,R
28,PhaseType.ID,TrialType.FBK,1,9,R0,False,,43.0,1.0,44.0,
29,PhaseType.ID,TrialType.ITI,1,9,R0,False,,44.0,2.0,46.0,
30,PhaseType.ID,TrialType.SHOW,1,10,L0,False,,46.0,1.5,47.5,L
31,PhaseType.ID,TrialType.FBK,1,10,L0,False,,47.5,1.0,48.5,
32,PhaseType.ID,TrialType.ITI,1,10,L0,False,,48.5,5.0,53.5,
33,PhaseType.ID,TrialType.SHOW,1,11,R1,False,,53.5,1.5,55.0,R
34,PhaseType.ID,TrialType.FBK,1,11,R1,False,,55.0,1.0,56.0,
35,PhaseType.ID,TrialType.ITI,1,11,R1,False,,56.0,1.0,57.0,
36,PhaseType.ID,TrialType.SCORE,1,-1,,False,,57.0,2.0,59.0,
