,phase,ttype,blocknum,trial,LR1,deval,LR2,onset,dur,end,cor_side
0,PhaseType.ID,TrialType.SHOW,1,0,L2,False,,3,2,5,L
1,PhaseType.ID,TrialType.FBK,1,0,L2,False,,5,1,6,
2,PhaseType.ID,TrialType.ITI,1,0,L2,False,,6,2,8,
3,PhaseType.ID,TrialType.SHOW,1,1,R1,False,,8,2,10,R
4,PhaseType.ID,TrialType.FBK,1,1,R1,False,,10,1,11,
5,PhaseType.ID,TrialType.ITI,1,1,R1,False,,11,1,12,
6,PhaseType.ID,TrialType.SHOW,1,2,R0,False,,12,2,14,R
7,PhaseType.ID,TrialType.FBK,1,2,R0,False,,14,1,15,
8,PhaseType.ID,TrialType.ITI,1,2,R0,False,,15,1,16,
9,PhaseType.ID,TrialType.SHOW,1,3,L2,False,,16,2,18,L
10,PhaseType.ID,TrialType.FBK,1,3,L2,False,,18,1,19,
11,PhaseType.ID,TrialType.ITI,1,3,L2,False,,19,1,20,
12,PhaseType.ID,TrialType.SHOW,1,4,R2,False,,20,2,22,R
13,PhaseType.ID,TrialType.FBK,1,4,R2,False,,22,1,23,
14,PhaseType.ID,TrialType.ITI,1,4,R2,False,,23,1,24,
15,PhaseType.ID,TrialType.SHOW,1,5,L0,False,,24,2,26,L
16,PhaseType.ID,TrialType.FBK,1,5,L0,False,,26,1,27,
17,PhaseType.ID,TrialType.ITI,1,5,L0,False,,27,2,29,
18,PhaseType.ID,TrialType.SHOW,1,6,L0,False,,29,2,31,L
19,PhaseType.ID,TrialType.FBK,1,6,L0,False,,31,1,32,
20,PhaseType.ID,TrialType.ITI,1,6,L0,False,,32,2,34,
21,PhaseType.ID,TrialType.SHOW,1,7,R2,False,,34,2,36,R
22,PhaseType.ID,TrialType.FBK,1,7,R2,False,,36,1,37,
23,PhaseType.ID,TrialType.ITI,1,7,R2,False,,37,1,38,
24,PhaseType.ID,TrialType.SHOW,1,8,R0,False,,38,2,40,R
25,PhaseType.ID,TrialType.FBK,1,8,R0,False,,40,1,41,
26,PhaseType.ID,TrialType.ITI,1,8,R0,False,,41,1,42,
27,PhaseType.ID,TrialType.SHOW,1,9,L1,False,,42,2,44,L
28,PhaseType.ID,TrialType.FBK,1,9,L1,False,,44,1,45,
29,PhaseType.ID,TrialType.ITI,1,9,L1,False,,45,5,50,
30,PhaseType.ID,TrialType.SHOW,1,10,L1,False,,50,2,52,L
31,PhaseType.ID,TrialType.FBK,1,10,L1,False,,52,1,53,
32,PhaseType.ID,TrialType.ITI,1,10,L1,False,,53,5,58,
33,PhaseType.ID,TrialType.SHOW,1,11,R1,False,,58,2,60,R
34,PhaseType.ID,TrialType.FBK,1,11,R1,False,,60,1,61,
35,PhaseType.ID,TrialType.ITI,1,11,R1,False,,61,2,63,
36,PhaseType.ID,TrialType.SCORE,1,-1,,False,,63,2,65,
37,PhaseType.ID,TrialType.SHOW,1,0,R0,False,,65,2,67,R
38,PhaseType.ID,TrialType.FBK,1,0,R0,False,,67,1,68,
39,PhaseType.ID,TrialType.ITI,1,0,R0,False,,68,1,69,
40,PhaseType.ID,TrialType.SHOW,1,1,R2,False,,69,2,71,R
41,PhaseType.ID,TrialType.FBK,1,1,R2,False,,71,1,72,
42,PhaseType.ID,TrialType.ITI,1,1,R2,False,,72,2,74,
43,PhaseType.ID,TrialType.SHOW,1,2,R0,False,,74,2,76,R
44,PhaseType.ID,TrialType.FBK,1,2,R0,False,,76,1,77,
45,PhaseType.ID,TrialType.ITI,1,2,R0,False,,77,5,82,
46,PhaseType.ID,TrialType.SHOW,1,3,L0,False,,82,2,84,L
47,PhaseType.ID,TrialType.FBK,1,3,L0,False,,84,1,85,
48,PhaseType.ID,TrialType.ITI,1,3,L0,False,,85,1,86,
49,PhaseType.ID,TrialType.SHOW,1,4,R1,False,,86,2,88,R
50,PhaseType.ID,TrialType.FBK,1,4,R1,False,,88,1,89,
51,PhaseType.ID,TrialType.ITI,1,4,R1,False,,89,1,90,
52,PhaseType.ID,TrialType.SHOW,1,5,L1,False,,90,2,92,L
53,PhaseType.ID,TrialType.FBK,1,5,L1,False,,92,1,93,
54,PhaseType.ID,TrialType.ITI,1,5,L1,False,,93,1,94,
55,PhaseType.ID,TrialType.SHOW,1,6,R2,False,,94,2,96,R
56,PhaseType.ID,TrialType.FBK,1,6,R2,False,,96,1,97,
57,PhaseType.ID,TrialType.ITI,1,6,R2,False,,97,1,98,
58,PhaseType.ID,TrialType.SHOW,1,7,L1,False,,98,2,100,L
59,PhaseType.ID,TrialType.FBK,1,7,L1,False,,100,1,101,
60,PhaseType.ID,TrialType.ITI,1,7,L1,False,,101,1,102,
61,PhaseType.ID,TrialType.SHOW,1,8,R1,False,,102,2,104,R
62,PhaseType.ID,TrialType.FBK,1,8,R1,False,,104,1,105,
63,PhaseType.ID,TrialType.ITI,1,8,R1,False,,105,2,107,
64,PhaseType.ID,TrialType.SHOW,1,9,L2,False,,107,2,109,L
65,PhaseType.ID,TrialType.FBK,1,9,L2,False,,109,1,110,
66,PhaseType.ID,TrialType.ITI,1,9,L2,False,,110,2,112,
67,PhaseType.ID,TrialType.SHOW,1,10,L2,False,,112,2,114,L
68,PhaseType.ID,TrialType.FBK,1,10,L2,False,,114,1,115,
69,PhaseType.ID,TrialType.ITI,1,10,L2,False,,115,2,117,
70,PhaseType.ID,TrialType.SHOW,1,11,L0,False,,117,2,119,L
71,PhaseType.ID,TrialType.FBK,1,11,L0,False,,119,1,120,
72,PhaseType.ID,TrialType.ITI,1,11,L0,False,,120,5,125,
73,PhaseType.ID,TrialType.SCORE,1,-1,,False,,125,2,127,
74,PhaseType.ID,TrialType.SHOW,1,0,L2,False,,127,2,129,L
75,PhaseType.ID,TrialType.FBK,1,0,L2,False,,129,1,130,
76,PhaseType.ID,TrialType.ITI,1,0,L2,False,,130,1,131,
77,PhaseType.ID,TrialType.SHOW,1,1,R0,False,,131,2,133,R
78,PhaseType.ID,TrialType.FBK,1,1,R0,False,,133,1,134,
79,PhaseType.ID,TrialType.ITI,1,1,R0,False,,134,2,136,
80,PhaseType.ID,TrialType.SHOW,1,2,R1,False,,136,2,138,R
81,PhaseType.ID,TrialType.FBK,1,2,R1,False,,138,1,139,
82,PhaseType.ID,TrialType.ITI,1,2,R1,False,,139,2,141,
83,PhaseType.ID,TrialType.SHOW,1,3,R0,False,,141,2,143,R
84,PhaseType.ID,TrialType.FBK,1,3,R0,False,,143,1,144,
85,PhaseType.ID,TrialType.ITI,1,3,R0,False,,144,5,149,
86,PhaseType.ID,TrialType.SHOW,1,4,L1,False,,149,2,151,L
87,PhaseType.ID,TrialType.FBK,1,4,L1,False,,151,1,152,
88,PhaseType.ID,TrialType.ITI,1,4,L1,False,,152,1,153,
89,PhaseType.ID,TrialType.SHOW,1,5,R2,False,,153,2,155,R
90,PhaseType.ID,TrialType.FBK,1,5,R2,False,,155,1,156,
91,PhaseType.ID,TrialType.ITI,1,5,R2,False,,156,1,157,
92,PhaseType.ID,TrialType.SHOW,1,6,R2,False,,157,2,159,R
93,PhaseType.ID,TrialType.FBK,1,6,R2,False,,159,1,160,
94,PhaseType.ID,TrialType.ITI,1,6,R2,False,,160,1,161,
95,PhaseType.ID,TrialType.SHOW,1,7,L0,False,,161,2,163,L
96,PhaseType.ID,TrialType.FBK,1,7,L0,False,,163,1,164,
97,PhaseType.ID,TrialType.ITI,1,7,L0,False,,164,5,169,
98,PhaseType.ID,TrialType.SHOW,1,8,L2,False,,169,2,171,L
99,PhaseType.ID,TrialType.FBK,1,8,L2,False,,171,1,172,
100,PhaseType.ID,TrialType.ITI,1,8,L2,False,,172,2,174,
101,PhaseType.ID,TrialType.SHOW,1,9,L0,False,,174,2,176,L
102,PhaseType.ID,TrialType.FBK,1,9,L0,False,,176,1,177,
103,PhaseType.ID,TrialType.ITI,1,9,L0,False,,177,2,179,
104,PhaseType.ID,TrialType.SHOW,1,10,R1,False,,179,2,181,R
105,PhaseType.ID,TrialType.FBK,1,10,R1,False,,181,1,182,
106,PhaseType.ID,TrialType.ITI,1,10,R1,False,,182,1,183,
107,PhaseType.ID,TrialType.SHOW,1,11,L1,False,,183,2,185,L
108,PhaseType.ID,TrialType.FBK,1,11,L1,False,,185,1,186,
109,PhaseType.ID,TrialType.ITI,1,11,L1,False,,186,1,187,
110,PhaseType.ID,TrialType.SCORE,1,-1,,False,,187,2,189,
111,PhaseType.ID,TrialType.SHOW,1,0,L2,False,,189,2,191,L
112,PhaseType.ID,TrialType.FBK,1,0,L2,False,,191,1,192,
113,PhaseType.ID,TrialType.ITI,1,0,L2,False,,192,1,193,
114,PhaseType.ID,TrialType.SHOW,1,1,R1,False,,193,2,195,R
115,PhaseType.ID,TrialType.FBK,1,1,R1,False,,195,1,196,
116,PhaseType.ID,TrialType.ITI,1,1,R1,False,,196,2,198,
117,PhaseType.ID,TrialType.SHOW,1,2,L0,False,,198,2,200,L
118,PhaseType.ID,TrialType.FBK,1,2,L0,False,,200,1,201,
119,PhaseType.ID,TrialType.ITI,1,2,L0,False,,201,1,202,
120,PhaseType.ID,TrialType.SHOW,1,3,R0,False,,202,2,204,R
121,PhaseType.ID,TrialType.FBK,1,3,R0,False,,204,1,205,
