,phase,ttype,blocknum,trial,LR1,deval,LR2,onset,dur,end,cor_side
0,PhaseType.OD,TrialType.SHOW,1,0,R2,False,L2,0.0,1.5,1.5,R
1,PhaseType.OD,TrialType.ITI,1,0,R2,False,L2,1.5,1.0,2.5,
2,PhaseType.OD,TrialType.SHOW,1,1,L2,False,R0,2.5,1.5,4.0,L
3,PhaseType.OD,TrialType.ITI,1,1,L2,False,R0,4.0,1.0,5.0,
4,PhaseType.OD,TrialType.SHOW,1,2,R0,False,L0,5.0,1.5,6.5,R
5,PhaseType.OD,TrialType.ITI,1,2,R0,False,L0,6.5,1.0,7.5,
6,PhaseType.OD,TrialType.SHOW,1,3,L0,True,R0,7.5,1.5,9.0,L
7,PhaseType.OD,TrialType.ITI,1,3,L0,False,R0,9.0,2.0,11.0,
8,PhaseType.OD,TrialType.SHOW,1,4,L1,False,R2,11.0,1.5,12.5,L
9,PhaseType.OD,TrialType.ITI,1,4,L1,False,R2,12.5,2.0,14.5,
10,PhaseType.OD,TrialType.SHOW,1,5,R0,False,L1,14.5,1.5,16.0,R
11,PhaseType.OD,TrialType.ITI,1,5,R0,False,L1,16.0,5.0,21.0,
12,PhaseType.OD,TrialType.SHOW,1,6,R0,True,L1,21.0,1.5,22.5,L
13,PhaseType.OD,TrialType.ITI,1,6,R0,False,L1,22.5,1.0,23.5,
14,PhaseType.OD,TrialType.SHOW,1,7,R1,False,L2,23.5,1.5,25.0,R
15,PhaseType.OD,TrialType.ITI,1,7,R1,False,L2,25.0,1.0,26.0,
16,PhaseType.OD,TrialType.SHOW,1,8,L2,True,R2,26.0,1.5,27.5,L
17,PhaseType.OD,TrialType.ITI,1,8,L2,False,R2,27.5,1.0,28.5,
18,PhaseType.OD,TrialType.SHOW,1,9,R2,True,L1,28.5,1.5,30.0,L
19,PhaseType.OD,TrialType.ITI,1,9,R2,False,L1,30.0,2.0,32.0,
20,PhaseType.OD,TrialType.SHOW,1,10,R1,True,L1,32.0,1.5,33.5,L
21,PhaseType.OD,TrialType.ITI,1,10,R1,False,L1,33.5,2.0,35.5,
22,PhaseType.OD,TrialType.SHOW,1,11,L1,True,R2,35.5,1.5,37.0,L
23,PhaseType.OD,TrialType.ITI,1,11,L1,False,R2,37.0,5.0,42.0,
24,PhaseType.OD,TrialType.SHOW,1,12,L0,True,R1,42.0,1.5,43.5,L
25,PhaseType.OD,TrialType.ITI,1,12,L0,False,R1,43.5,1.0,44.5,
26,PhaseType.OD,TrialType.SHOW,1,13,L1,False,R1,44.5,1.5,46.0,L
27,PhaseType.OD,TrialType.ITI,1,13,L1,False,R1,46.0,1.0,47.0,
28,PhaseType.OD,TrialType.SHOW,1,14,R2,False,L0,47.0,1.5,48.5,R
29,PhaseType.OD,TrialType.ITI,1,14,R2,False,L0,48.5,1.0,49.5,
30,PhaseType.OD,TrialType.SHOW,1,15,L2,True,R1,49.5,1.5,51.0,L
31,PhaseType.OD,TrialType.ITI,1,15,L2,False,R1,51.0,2.0,53.0,
32,PhaseType.OD,TrialType.SHOW,1,16,L1,True,R0,53.0,1.5,54.5,L
33,PhaseType.OD,TrialType.ITI,1,16,L1,False,R0,54.5,2.0,56.5,
34,PhaseType.OD,TrialType.SHOW,1,17,L0,False,R1,56.5,1.5,58.0,L
35,PhaseType.OD,TrialType.ITI,1,17,L0,False,R1,58.0,5.0,63.0,
36,PhaseType.OD,TrialType.SHOW,1,18,L0,False,R0,63.0,1.5,64.5,L
37,PhaseType.OD,TrialType.ITI,1,18,L0,False,R0,64.5,1.0,65.5,
38,PhaseType.OD,TrialType.SHOW,1,19,R0,False,L2,65.5,1.5,67.0,R
