,phase,ttype,blocknum,trial,LR1,deval,LR2,onset,dur,end,cor_side
0,PhaseType.OD,TrialType.SHOW,1,0,R0,True,L0,3,2,5,L
1,PhaseType.OD,TrialType.ITI,1,0,R0,False,L0,5,1,6,
2,PhaseType.OD,TrialType.SHOW,1,1,L0,True,R0,6,2,8,L
3,PhaseType.OD,TrialType.ITI,1,1,L0,False,R0,8,1,9,
4,PhaseType.OD,TrialType.SHOW,1,2,R0,False,L0,9,2,11,R
5,PhaseType.OD,TrialType.ITI,1,2,R0,False,L0,11,1,12,
6,PhaseType.OD,TrialType.SHOW,1,3,L0,False,R0,12,2,14,L
7,PhaseType.OD,TrialType.ITI,1,3,L0,False,R0,14,2,16,
8,PhaseType.OD,TrialType.SHOW,1,4,R1,True,L0,16,2,18,L
9,PhaseType.OD,TrialType.ITI,1,4,R1,False,L0,18,2,20,
10,PhaseType.OD,TrialType.SHOW,1,5,L0,True,R1,20,2,22,L
11,PhaseType.OD,TrialType.ITI,1,5,L0,False,R1,22,1,23,
12,PhaseType.OD,TrialType.SHOW,1,6,R1,False,L0,23,2,25,R
13,PhaseType.OD,TrialType.ITI,1,6,R1,False,L0,25,1,26,
14,PhaseType.OD,TrialType.SHOW,1,7,L0,False,R1,26,2,28,L
15,PhaseType.OD,TrialType.ITI,1,7,L0,False,R1,28,1,29,
16,PhaseType.OD,TrialType.SHOW,1,8,R2,True,L0,29,2,31,L
17,PhaseType.OD,TrialType.ITI,1,8,R2,False,L0,31,2,33,
18,PhaseType.OD,TrialType.SHOW,1,9,L0,True,R2,33,2,35,L
19,PhaseType.OD,TrialType.ITI,1,9,L0,False,R2,35,5,40,
20,PhaseType.OD,TrialType.SHOW,1,10,R2,False,L0,40,2,42,R
21,PhaseType.OD,TrialType.ITI,1,10,R2,False,L0,42,5,47,
22,PhaseType.OD,TrialType.SHOW,1,11,L0,False,R2,47,2,49,L
23,PhaseType.OD,TrialType.ITI,1,11,L0,False,R2,49,1,50,
24,PhaseType.OD,TrialType.SHOW,1,12,R0,True,L1,50,2,52,L
25,PhaseType.OD,TrialType.ITI,1,12,R0,False,L1,52,1,53,
26,PhaseType.OD,TrialType.SHOW,1,13,L1,True,R0,53,2,55,L
27,PhaseType.OD,TrialType.ITI,1,13,L1,False,R0,55,2,57,
28,PhaseType.OD,TrialType.SHOW,1,14,R0,False,L1,57,2,59,R
29,PhaseType.OD,TrialType.ITI,1,14,R0,False,L1,59,1,60,
30,PhaseType.OD,TrialType.SHOW,1,15,L1,False,R0,60,2,62,L
31,PhaseType.OD,TrialType.ITI,1,15,L1,False,R0,62,5,67,
32,PhaseType.OD,TrialType.SHOW,1,16,R1,True,L1,67,2,69,L
33,PhaseType.OD,TrialType.ITI,1,16,R1,False,L1,69,2,71,
34,PhaseType.OD,TrialType.SHOW,1,17,L1,True,R1,71,2,73,L
35,PhaseType.OD,TrialType.ITI,1,17,L1,False,R1,73,2,75,
36,PhaseType.OD,TrialType.SHOW,1,18,R1,False,L1,75,2,77,R
37,PhaseType.OD,TrialType.ITI,1,18,R1,False,L1,77,1,78,
38,PhaseType.OD,TrialType.SHOW,1,19,L1,False,R1,78,2,80,L
39,PhaseType.OD,TrialType.ITI,1,19,L1,False,R1,80,5,85,
40,PhaseType.OD,TrialType.SHOW,1,20,R2,True,L1,85,2,87,L
41,PhaseType.OD,TrialType.ITI,1,20,R2,False,L1,87,1,88,
42,PhaseType.OD,TrialType.SHOW,1,21,L1,True,R2,88,2,90,L
43,PhaseType.OD,TrialType.ITI,1,21,L1,False,R2,90,2,92,
44,PhaseType.OD,TrialType.SHOW,1,22,R2,False,L1,92,2,94,R
45,PhaseType.OD,TrialType.ITI,1,22,R2,False,L1,94,5,99,
46,PhaseType.OD,TrialType.SHOW,1,23,L1,False,R2,99,2,101,L
47,PhaseType.OD,TrialType.ITI,1,23,L1,False,R2,101,5,106,
48,PhaseType.OD,TrialType.SHOW,1,24,R0,True,L2,106,2,108,L
49,PhaseType.OD,TrialType.ITI,1,24,R0,False,L2,108,2,110,
50,PhaseType.OD,TrialType.SHOW,1,25,L2,True,R0,110,2,112,L
51,PhaseType.OD,TrialType.ITI,1,25,L2,False,R0,112,1,113,
52,PhaseType.OD,TrialType.SHOW,1,26,R0,False,L2,113,2,115,R
53,PhaseType.OD,TrialType.ITI,1,26,R0,False,L2,115,2,117,
54,PhaseType.OD,TrialType.SHOW,1,27,L2,False,R0,117,2,119,L
55,PhaseType.OD,TrialType.ITI,1,27,L2,False,R0,119,2,121,
56,PhaseType.OD,TrialType.SHOW,1,28,R1,True,L2,121,2,123,L
57,PhaseType.OD,TrialType.ITI,1,28,R1,False,L2,123,1,124,
58,PhaseType.OD,TrialType.SHOW,1,29,L2,True,R1,124,2,126,L
59,PhaseType.OD,TrialType.ITI,1,29,L2,False,R1,126,2,128,
60,PhaseType.OD,TrialType.SHOW,1,30,R1,False,L2,128,2,130,R
61,PhaseType.OD,TrialType.ITI,1,30,R1,False,L2,130,1,131,
62,PhaseType.OD,TrialType.SHOW,1,31,L2,False,R1,131,2,133,L
63,PhaseType.OD,TrialType.ITI,1,31,L2,False,R1,133,1,134,
64,PhaseType.OD,TrialType.SHOW,1,32,R2,True,L2,134,2,136,L
65,PhaseType.OD,TrialType.ITI,1,32,R2,False,L2,136,1,137,
66,PhaseType.OD,TrialType.SHOW,1,33,L2,True,R2,137,2,139,L
67,PhaseType.OD,TrialType.ITI,1,33,L2,False,R2,139,1,140,
68,PhaseType.OD,TrialType.SHOW,1,34,R2,False,L2,140,2,142,R
69,PhaseType.OD,TrialType.ITI,1,34,R2,False,L2,142,1,143,
70,PhaseType.OD,TrialType.SHOW,1,35,L2,False,R2,143,2,145,L
71,PhaseType.OD,TrialType.ITI,1,35,L2,False,R2,145,2,147,
72,PhaseType.OD,TrialType.SCORE,1,-1,,False,,147,2,149,
