,phase,ttype,blocknum,trial,LR1,deval,LR2,onset,dur,end,cor_side
0,PhaseType.SOA,TrialType.GRID,1,-1,L2,False,R2,3.0,5.0,8.0,
1,PhaseType.SOA,TrialType.SHOW,1,0,R2,True,,8.0,2.0,10.0,
2,PhaseType.SOA,TrialType.ITI,1,0,R2,False,,10.0,1.0,11.0,
3,PhaseType.SOA,TrialType.SHOW,1,1,R2,True,,11.0,2.0,13.0,
4,PhaseType.SOA,TrialType.ITI,1,1,R2,False,,13.0,2.0,15.0,
5,PhaseType.SOA,TrialType.SHOW,1,2,L2,True,,15.0,2.0,17.0,
6,PhaseType.SOA,TrialType.ITI,1,2,L2,False,,17.0,5.0,22.0,
7,PhaseType.SOA,TrialType.SHOW,1,3,L0,False,,22.0,2.0,24.0,L
8,PhaseType.SOA,TrialType.ITI,1,3,L0,False,,24.0,1.0,25.0,
9,PhaseType.SOA,TrialType.SHOW,1,4,R0,False,,25.0,2.0,27.0,R
10,PhaseType.SOA,TrialType.ITI,1,4,R0,False,,27.0,1.0,28.0,
11,PhaseType.SOA,TrialType.SHOW,1,5,R0,False,,28.0,2.0,30.0,R
12,PhaseType.SOA,TrialType.ITI,1,5,R0,False,,30.0,2.0,32.0,
13,PhaseType.SOA,TrialType.SHOW,1,6,L1,False,,32.0,2.0,34.0,L
14,PhaseType.SOA,TrialType.ITI,1,6,L1,False,,34.0,2.0,36.0,
15,PhaseType.SOA,TrialType.SHOW,1,7,R1,False,,36.0,2.0,38.0,R
16,PhaseType.SOA,TrialType.ITI,1,7,R1,False,,38.0,2.0,40.0,
17,PhaseType.SOA,TrialType.SHOW,1,8,R1,False,,40.0,2.0,42.0,R
18,PhaseType.SOA,TrialType.ITI,1,8,R1,False,,42.0,1.0,43.0,
19,PhaseType.SOA,TrialType.SHOW,1,9,L2,True,,43.0,2.0,45.0,
20,PhaseType.SOA,TrialType.ITI,1,9,L2,False,,45.0,1.0,46.0,
21,PhaseType.SOA,TrialType.SHOW,1,10,L0,False,,46.0,2.0,48.0,L
22,PhaseType.SOA,TrialType.ITI,1,10,L0,False,,48.0,5.0,53.0,
23,PhaseType.SOA,TrialType.SHOW,1,11,L1,False,,53.0,2.0,55.0,L
24,PhaseType.SOA,TrialType.ITI,1,11,L1,False,,55.0,1.0,56.0,
25,PhaseType.SOA,TrialType.SCORE,1,-1,,False,,56.0,2.0,58.0,
26,PhaseType.SOA,TrialType.GRID,1,-1,L1,False,L2,58.0,5.0,63.0,
27,PhaseType.SOA,TrialType.SHOW,1,0,R1,False,,63.0,2.0,65.0,R
28,PhaseType.SOA,TrialType.ITI,1,0,R1,False,,65.0,1.0,66.0,
29,PhaseType.SOA,TrialType.SHOW,1,1,L0,False,,66.0,2.0,68.0,L
30,PhaseType.SOA,TrialType.ITI,1,1,L0,False,,68.0,5.0,73.0,
31,PhaseType.SOA,TrialType.SHOW,1,2,L2,True,,73.0,2.0,75.0,
32,PhaseType.SOA,TrialType.ITI,1,2,L2,False,,75.0,1.0,76.0,
33,PhaseType.SOA,TrialType.SHOW,1,3,L2,True,,76.0,2.0,78.0,
34,PhaseType.SOA,TrialType.ITI,1,3,L2,False,,78.0,5.0,83.0,
35,PhaseType.SOA,TrialType.SHOW,1,4,R2,False,,83.0,2.0,85.0,R
36,PhaseType.SOA,TrialType.ITI,1,4,R2,False,,85.0,1.0,86.0,
37,PhaseType.SOA,TrialType.SHOW,1,5,R2,False,,86.0,2.0,88.0,R
38,PhaseType.SOA,TrialType.ITI,1,5,R2,False,,88.0,2.0,90.0,
39,PhaseType.SOA,TrialType.SHOW,1,6,L1,True,,90.0,2.0,92.0,
40,PhaseType.SOA,TrialType.ITI,1,6,L1,False,,92.0,2.0,94.0,
41,PhaseType.SOA,TrialType.SHOW,1,7,R0,False,,94.0,2.0,96.0,R
42,PhaseType.SOA,TrialType.ITI,1,7,R0,False,,96.0,2.0,98.0,
43,PhaseType.SOA,TrialType.SHOW,1,8,R1,False,,98.0,2.0,100.0,R
44,PhaseType.SOA,TrialType.ITI,1,8,R1,False,,100.0,1.0,101.0,
45,PhaseType.SOA,TrialType.SHOW,1,9,L1,True,,101.0,2.0,103.0,
46,PhaseType.SOA,TrialType.ITI,1,9,L1,False,,103.0,1.0,104.0,
47,PhaseType.SOA,TrialType.SHOW,1,10,R0,False,,104.0,2.0,106.0,R
48,PhaseType.SOA,TrialType.ITI,1,10,R0,False,,106.0,1.0,107.0,
49,PhaseType.SOA,TrialType.SHOW,1,11,L0,False,,107.0,2.0,109.0,L
50,PhaseType.SOA,TrialType.ITI,1,11,L0,False,,109.0,2.0,111.0,
51,PhaseType.SOA,TrialType.SCORE,1,-1,,False,,111.0,2.0,113.0,
52,PhaseType.SOA,TrialType.GRID,1,-1,R1,False,R2,113.0,5.0,118.0,
53,PhaseType.SOA,TrialType.SHOW,1,0,R2,True,,118.0,2.0,120.0,
54,PhaseType.SOA,TrialType.ITI,1,0,R2,False,,120.0,1.0,121.0,
55,PhaseType.SOA,TrialType.SHOW,1,1,L1,False,,121.0,2.0,123.0,L
56,PhaseType.SOA,TrialType.ITI,1,1,L1,False,,123.0,5.0,128.0,
57,PhaseType.SOA,TrialType.SHOW,1,2,L0,False,,128.0,2.0,130.0,L
58,PhaseType.SOA,TrialType.ITI,1,2,L0,False,,130.0,1.0,131.0,
59,PhaseType.SOA,TrialType.SHOW,1,3,R2,True,,131.0,2.0,133.0,
60,PhaseType.SOA,TrialType.ITI,1,3,R2,False,,133.0,5.0,138.0,
61,PhaseType.SOA,TrialType.SHOW,1,4,L0,False,,138.0,2.0,140.0,L
62,PhaseType.SOA,TrialType.ITI,1,4,L0,False,,140.0,2.0,142.0,
63,PhaseType.SOA,TrialType.SHOW,1,5,L2,False,,142.0,2.0,144.0,L
64,PhaseType.SOA,TrialType.ITI,1,5,L2,False,,144.0,1.0,145.0,
65,PhaseType.SOA,TrialType.SHOW,1,6,R0,False,,145.0,2.0,147.0,R
66,PhaseType.SOA,TrialType.ITI,1,6,R0,False,,147.0,1.0,148.0,
67,PhaseType.SOA,TrialType.SHOW,1,7,L2,False,,148.0,2.0,150.0,L
68,PhaseType.SOA,TrialType.ITI,1,7,L2,False,,150.0,1.0,151.0,
69,PhaseType.SOA,TrialType.SHOW,1,8,R0,False,,151.0,2.0,153.0,R
70,PhaseType.SOA,TrialType.ITI,1,8,R0,False,,153.0,1.0,154.0,
71,PhaseType.SOA,TrialType.SHOW,1,9,R1,True,,154.0,2.0,156.0,
72,PhaseType.SOA,TrialType.ITI,1,9,R1,False,,156.0,2.0,158.0,
73,PhaseType.SOA,TrialType.SHOW,1,10,R1,True,,158.0,2.0,160.0,
74,PhaseType.SOA,TrialType.ITI,1,10,R1,False,,160.0,2.0,162.0,
75,PhaseType.SOA,TrialType.SHOW,1,11,L1,False,,162.0,2.0,164.0,L
76,PhaseType.SOA,TrialType.ITI,1,11,L1,False,,164.0,2.0,166.0,
77,PhaseType.SOA,TrialType.SCORE,1,-1,,False,,166.0,2.0,168.0,
78,PhaseType.SOA,TrialType.GRID,1,-1,L0,False,L1,168.0,5.0,173.0,
79,PhaseType.SOA,TrialType.SHOW,1,0,L0,True,,173.0,2.0,175.0,
80,PhaseType.SOA,TrialType.ITI,1,0,L0,False,,175.0,1.0,176.0,
81,PhaseType.SOA,TrialType.SHOW,1,1,L1,True,,176.0,2.0,178.0,
82,PhaseType.SOA,TrialType.ITI,1,1,L1,False,,178.0,1.0,179.0,
83,PhaseType.SOA,TrialType.SHOW,1,2,R1,False,,179.0,2.0,181.0,R
84,PhaseType.SOA,TrialType.ITI,1,2,R1,False,,181.0,1.0,182.0,
85,PhaseType.SOA,TrialType.SHOW,1,3,L2,False,,182.0,2.0,184.0,L
86,PhaseType.SOA,TrialType.ITI,1,3,L2,False,,184.0,5.0,189.0,
87,PhaseType.SOA,TrialType.SHOW,1,4,L1,True,,189.0,2.0,191.0,
88,PhaseType.SOA,TrialType.ITI,1,4,L1,False,,191.0,1.0,192.0,
89,PhaseType.SOA,TrialType.SHOW,1,5,R1,False,,192.0,2.0,194.0,R
90,PhaseType.SOA,TrialType.ITI,1,5,R1,False,,194.0,2.0,196.0,
91,PhaseType.SOA,TrialType.SHOW,1,6,R2,False,,196.0,2.0,198.0,R
92,PhaseType.SOA,TrialType.ITI,1,6,R2,False,,198.0,1.0,199.0,
93,PhaseType.SOA,TrialType.SHOW,1,7,R2,False,,199.0,2.0,201.0,R
94,PhaseType.SOA,TrialType.ITI,1,7,R2,False,,201.0,2.0,203.0,
95,PhaseType.SOA,TrialType.SHOW,1,8,L2,False,,203.0,2.0,205.0,L
96,PhaseType.SOA,TrialType.ITI,1,8,L2,False,,205.0,1.0,206.0,
97,PhaseType.SOA,TrialType.SHOW,1,9,R0,False,,206.0,2.0,208.0,R
98,PhaseType.SOA,TrialType.ITI,1,9,R0,False,,208.0,2.0,210.0,
99,PhaseType.SOA,TrialType.SHOW,1,10,L0,True,,210.0,2.0,212.0,
100,PhaseType.SOA,TrialType.ITI,1,10,L0,False,,212.0,5.0,217.0,
101,PhaseType.SOA,TrialType.SHOW,1,11,R0,False,,217.0,2.0,219.0,R
102,PhaseType.SOA,TrialType.ITI,1,11,R0,False,,219.0,2.0,221.0,
103,PhaseType.SOA,TrialType.SCORE,1,-1,,False,,221.0,2.0,223.0,
